"LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
"Remote Australia","All Ages","non_wearing_seatbelts","Mobile camera",0,0,0
"Remote Australia","All Ages","speed_fines","Fixed camera",0,0,0
"Remote Australia","All Ages","speed_fines","Mobile camera",16,0,0
"Remote Australia","All Ages","speed_fines","Police issued",1,0,0
"Remote Australia","All Ages","unlicensed_driving","Manual Action",170,0,0
"Very Remote Australia","0-16","speed_fines","Police issued",1,0,1
"Very Remote Australia","0-16","unlicensed_driving","Manual Action",0,0,3
"Very Remote Australia","0-16","unlicensed_driving","Police issued",0,0,1
"Very Remote Australia","17-25","mobile_phone_use","Police issued",8,0,0
"Very Remote Australia","17-25","non_wearing_seatbelts","Police issued",39,0,1
"Very Remote Australia","17-25","speed_fines","Police issued",359,0,2
"Very Remote Australia","17-25","unlicensed_driving","Manual Action",2,0,26
"Very Remote Australia","17-25","unlicensed_driving","Police issued",2,0,29
"Very Remote Australia","26-39","mobile_phone_use","Police issued",11,0,1
"Very Remote Australia","26-39","non_wearing_seatbelts","Police issued",105,0,3
"Very Remote Australia","26-39","speed_fines","Police issued",792,1,4
"Very Remote Australia","26-39","unlicensed_driving","Manual Action",5,0,36
"Very Remote Australia","26-39","unlicensed_driving","Police issued",8,0,56
"Very Remote Australia","40-64","mobile_phone_use","Police issued",12,0,0
"Very Remote Australia","40-64","non_wearing_seatbelts","Police issued",75,0,2
"Very Remote Australia","40-64","speed_fines","Mobile camera",1,0,0
"Very Remote Australia","40-64","speed_fines","Police issued",923,1,3
"Very Remote Australia","40-64","unlicensed_driving","Manual Action",5,0,22
